CLU2;CLU4
NP_003463;NP_848927
NP_001093869;NP_055475
NP_005076;NP_005244
NP_065901;NP_003008
NP_060389;NP_891553
NP_003644;NP_002705
NP_005886;NP_056169
NP_004292;NP_612142
NP_055726;NP_061830
NP_002152;NP_001122321
NP_003646;NP_001746
NP_001018079;NP_002792
NP_001099008;NP_060353
NP_079366;NP_055726
NP_115593;NP_001003800
NP_001649;NP_510880
NP_061878;NP_006658
NP_003128;NP_060537
NP_073557;NP_003555
NP_001073898;NP_001074324
NP_001122321;NP_001020471
NP_002464;NP_002726
NP_114430;NP_115766
NP_006358;NP_003213
NP_006635;NP_001012768
NP_652759;NP_149079
NP_005641;NP_055756
NP_055475;NP_057056
NP_061830;NP_060191
NP_001006635;NP_005079
NP_835227;NP_005073
NP_060537;NP_000480
NP_056056;NP_060439
NP_001003800;NP_005210
NP_079104;NP_065883
NP_510880;NP_056988
NP_612142;NP_071921
NP_002726;NP_114414
NP_002792;NP_003080
NP_006658;NP_057591
NP_055844;NP_056992
NP_115766;NP_004777
NP_848927;NP_116114
NP_055889;NP_892017
NP_891553;NP_056311
NP_001020119;NP_067051
NP_057657;NP_005886
NP_059995;NP_005076
NP_056111;NP_652759
NP_061981;NP_002464
NP_001746;NP_005641
NP_542417;NP_060389
NP_115728;NP_006358
NP_060353;NP_006635
NP_001017926;NP_079366
NP_003119;NP_004550
NP_003555;NP_073557
NP_005057;NP_004292
NP_003008;NP_003463
NP_001074324;NP_005078
NP_002865;NP_001649
NP_003213;NP_003644
NP_001138890;NP_002678
NP_002452;NP_003128
NP_037524;NP_001099008
NP_065863;NP_001093869
NP_057225;NP_114430
NP_733762;NP_037524
NP_001014436;NP_003866
NP_056272;NP_002152
NP_001128119;NP_055844
NP_004299;NP_065901
NP_055642;NP_001120792
NP_057562;NP_115593
NP_079436;NP_061878
NP_057087;
NP_003669;
NP_001120792;
NP_055446;
NP_056371;
NP_005598;
NP_001020471;
NP_002636;
NP_006805;
NP_002574;
NP_004557;
NP_001096123;
NP_689929;
NP_004680;
NP_004136;
NP_005564;
NP_056173;
NP_112553;
NP_002212;
NP_001012426;
NP_006028;
NP_443137;
NP_005244;
NP_071334;
NP_001008493;
NP_057951;
NP_055861;
NP_060773;
NP_115786;
NP_006485;
NP_060731;
NP_000779;
NP_077305;
NP_060952;
NP_683692;
NP_065805;
NP_036238;
NP_055907;
NP_001124384;
NP_002678;
NP_002705;
NP_036448;
NP_056169;
NP_001610;
NP_116201;
