#1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
278;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GID;geneName;AO-A12D.01TCGA;C8-A131.01TCGA;AO-A12B.01TCGA;BH-A18Q.02TCGA;C8-A130.02TCGA;C8-A138.03TCGA;E2-A154.03TCGA;C8-A12L.04TCGA;A2-A0EX.04TCGA;AO-A12D.05TCGA;AN-A04A.05TCGA;BH-A0AV.05TCGA;C8-A12T.06TCGA;A8-A06Z.07TCGA;A2-A0CM.07TCGA;BH-A18U.08TCGA;A2-A0EQ.08TCGA;AR-A1AP.11TCGA;AN-A0FK.11TCGA;A8-A076.15TCGA;AO-A126.15TCGA;BH-A0C1.16TCGA;A2-A0EY.16TCGA;AR-A1AW.17TCGA;AR-A1AV.17TCGA;C8-A135.17TCGA;AN-A0FL.19TCGA;BH-A0DG.19TCGA;AR-A0TV.20TCGA;C8-A12Z.20TCGA;AO-A0JJ.20TCGA;AO-A0JE.21TCGA;AN-A0AJ.21TCGA;A7-A0CJ.22TCGA;AO-A12F.22TCGA;A2-A0T3.24TCGA;A2-A0YD.24TCGA;AR-A0TR.25TCGA;AO-A03O.25TCGA;AO-A12E.26TCGA;A8-A06N.26TCGA;A2-A0YG.27TCGA;BH-A18N.27TCGA;AN-A0AL.28TCGA;A2-A0T6.29TCGA;E2-A158.29TCGA;E2-A15A.29TCGA;AO-A0JM.30TCGA;C8-A12V.30TCGA;A2-A0D2.31TCGA;C8-A12U.31TCGA;AR-A1AS.31TCGA;A8-A09G.32TCGA;C8-A131.32TCGA;C8-A134.32TCGA;A2-A0YF.33TCGA;BH-A0DD.33TCGA;BH-A0E9.33TCGA;AR-A0TT.34TCGA;AO-A12B.34TCGA;263d3f-I.CPTAC;blcdb9-I.CPTAC;c4155b-C.CPTAC
NP_055726;AAK1;0.000453483;0.382858905;0.033774372;0.001623115;0.013268658;0.001269232;-0.013295406;-0.00352915;-0.020455219;0.000319635;0.004013438;0.145915458;0.04421924;-0.001910783;0.001093923;0.002332975;0.000595257;0.28179524;-0.000121736;1.96E-05;-0.000781106;0.051023193;0.029828487;2.073057926;-0.120381963;0.000654347;-0.028771863;0.426211559;0.495869701;-0.026594051;1.390518073;0.00682836;0.000637261;0.421205921;0.045430017;-0.014084249;-0.094913799;0.012536368;0.002437018;-0.062941626;0.001284751;0.000311586;0.256780496;0.000118009;0.01784055;0.024610936;-0.002983761;0.000448259;0.161308061;-0.001416628;0.020948992;0.046756485;-4.42E-07;0.449141151;1.837438572;0.006101739;-0.013846464;0.133033247;-0.000125636;0.023749597;-0.027534979;-0.003709065;-5.11E-05
NP_001012768;ABI1;-8.25E-05;0.739347071;0.99537617;0.001262085;0.011935503;8.86E-08;-0.003668206;-0.000944829;0.115955337;0.065843105;-0.011269585;0.952008042;-0.000114272;-0.427354735;1.298004905;0.177380616;0.078565574;0.004637318;0.031733188;-0.033669048;-0.026745105;0.001269373;-2.84E-06;0.232892861;-0.000331221;-0.000665859;-0.005119951;0.009289769;0.056171525;0.169794159;0.004531169;-6.82E-05;0.004280984;-0.000723622;-0.010992673;0.042908933;-0.340794256;-0.000364787;0.22671428;-0.033639255;0.230693055;-2.31E-07;1.58E-05;4.376060991;9.27E-05;0.000650466;9.03E-07;-0.078433432;0.132573434;0.000136247;0.030501789;-1.23E-06;-0.012318071;1.776200581;-0.001450762;0.013345275;-9.43E-07;0.018733032;0.00212872;1.418483332;-0.449662263;0.001252886;-0.01543875
NP_001158287;ACIN1;-0.004965047;5.36E-07;0.027130105;0.97976635;-0.089757558;0.273014603;3.784619007;5.93E-05;-0.004051985;-0.037868568;-0.055209182;1.908633068;0.002549132;-1.888737865;-2.84E-05;0.162455872;-0.010022084;-1.18E-09;0.019606815;-1.85E-05;0.113445305;0.297444495;0.001041156;0.004382714;-0.000457023;6.71894768;0.13796082;-0.002157499;0.001022508;57.65690701;-1.85E-05;0.003782733;0.076266205;-0.012819759;0.093217985;0.163714712;65.96065739;0.057684051;-0.020164569;0.075124698;4.57E-06;0.000148947;0.001841723;-0.027216035;0.002507739;2.17E-05;1.16E-05;0.120535133;0.005756489;0.209555475;0.064720374;-0.009175302;2.724856406;0.016988213;0.01891439;0.001861718;0.688012428;0.130616632;2.39E-05;0.036824703;1.495530522;3.491485005;2.442349848
NP_001087;ACLY;1.021428199;0.001485818;0.691561378;20.10978483;1.774404855;-0.006435293;0.072686646;-0.046241074;0.444805302;-0.576434817;1.192267919;9.605017111;1.752220848;4.309507796;0.007259509;0.049073103;0.225037395;5.633720034;-0.015169893;0.869957701;0.100432463;-0.003798514;0.010636661;0.701979178;0.001424709;6.50618942;0.043122641;36.78791137;0.049375169;-8.949897672;13.25861359;0.02494487;8.82E-06;1.516917053;-0.000469689;13.77267656;33.04562403;0.198324678;7.29319837;28.11806395;1.596686026;0.966795279;0.06723646;72.85856013;-0.00823945;7.120565951;0.000159868;3.37E-05;6.107416561;1.733203207;0.044521289;0.232980562;162.8645395;-0.045031143;0.00770526;0.465470177;0.655245283;14.49127326;0.296906881;1.822736063;0.18333875;-2.00E-07;0.060115901
NP_004292;ACTL6A;-1.45E-06;0.001547776;0.088627265;0.175484877;0.493305122;0.0512601;0.000363197;2.487456281;-0.005129599;-4.97E-07;-1.804830942;8.67E-05;-0.142557125;-0.002183463;3.437268224;0.125555106;-9.75E-05;1.67593288;0.414929114;0.082491685;-0.000924329;0.412337874;-0.00247254;0.001598274;0.024348215;-0.000113947;0.002919147;-0.03607154;-0.003099307;-0.003120987;-0.22825982;0.046328757;0.950726076;1.352643295;0.115286843;-0.026180307;-0.024186958;4.75E-06;0.259989198;-0.451040298;-0.114656405;0.017489077;0.010919471;-0.001818701;-0.007830663;0.283912512;-0.11412663;3.79E-05;0.175916627;0.000708911;0.00650363;5.67E-05;-0.025394225;-0.000469349;0.089686037;-0.000212443;0.443692352;0.002947556;7.08E-06;0.121234377;-0.888037914;-0.591006806;-0.006447707
NP_054908;ADD1;0.012044569;0.354265322;-0.00229502;0.005215136;-0.094513595;-0.437854309;0.001447201;4.352289757;48.54433015;0.007573911;-0.012446843;0.983436126;-0.055392582;0.849843764;-0.096319337;0.225692969;0.003675076;-0.012708634;3.676237087;-0.000185682;3.030285048;0.000267689;-0.004680253;-0.023394304;-0.002509242;-0.149735308;0.911522483;0.003229535;-0.000885216;1.847011558;0.385014803;0.320565907;-0.015597362;2.501942451;0.012679866;0.007510708;-2.229283409;4.802484549;0.610349837;0.000334726;11.08051784;-0.003038404;0.804428663;10.13859571;1.370826031;0.02646221;0.006783821;-6.09E-05;-0.38696063;0.67571386;0.009255382;6.227513299;0.200407129;0.104319137;0.003446572;5.646041796;0.023413285;16.16548089;0.187018377;-0.008675837;14.14245932;-1.961580279;-38.62115638
NP_001610;ADRBK1;-0.047431855;0.05156525;0.207877676;-0.551338602;-0.014167303;16.98119033;0.003879912;0.010289263;0.009052963;-0.119532996;2.172556687;-0.91677472;1.105510545;0.016277892;0.38725841;-0.048941267;0.070692831;0.004124537;0.523850733;0.046648275;-0.093146237;-0.666552827;0.054075963;-0.797906211;-0.13362003;-0.249647103;-0.00138753;0.926097942;0.010628059;-0.292190454;-1.058996014;5.376710219;0.012924282;0.033130913;0.086631077;2.707109549;-0.026955018;0.110823281;1.272520532;0.022531467;1.540083068;-0.023000542;0.253358972;3.784470058;1.225830082;1.42E-06;74.54867576;-0.045664553;2.705879663;-1.04668334;0.167971234;0.091434249;0.091605261;0.074845536;-6.25E-05;0.454939169;-1.786905478;0.098710875;1.537821423;0.103906376;0.673751196;-5.71E-06;-0.187100605
NP_008933;ADRM1;0.013689313;-0.055945559;-0.001896091;26.76472401;0.058594331;0.005014665;19.2598021;-4.81E-08;-0.096281542;0.001087088;-0.047468084;16.07154344;-0.1846601;-0.13760537;-0.043169651;2.354110312;-8.84E-05;0.042516856;-9.71E-05;-0.614666514;0.328583767;0.016699428;-0.045824243;-0.001716081;0.028998695;0.925064945;0.095948794;0.002311153;9.79E-06;228.1745314;-0.072483628;3.515359089;4.431360207;-0.000598517;-0.00450455;0.001273645;-0.000808397;0.012522891;0.000974976;0.008710425;-0.129577675;1.331208729;0.396296748;-0.000125288;-0.043484505;0.000524675;-0.036712285;0.036918787;0.203723095;1.039702496;4.151128736;0.024426177;54.89063866;-0.000185359;0.070605283;-0.959408325;17.30867865;0.073463216;-0.044040496;9.05E-10;0.461384287;0.121417835;-0.004800483
NP_001128119;AFAP1;0.04217075;29.60733348;3.635182431;-2.052416753;1.301394546;-2.470491885;32.01704355;0.90693666;12.93084567;-0.003662925;-0.010989508;1.987573067;0.016920602;0.384909;0.292785106;-0.627760986;-0.055145989;0.562693257;-2.52E-05;11.34258076;0.004868086;-0.658938525;5.820998298;0.17138977;0.033778616;-0.553184955;3.964997526;1.23E-05;8.644425575;64.98642187;-2.83E-06;0.028758565;8.54930368;5.73E-11;0.030372004;0.021655849;74.10326158;2.784910278;0.135684964;17.50389801;5.81419493;0.094031984;0.520338554;0.604130376;0.175997312;0.128011325;-0.006007303;0.254069069;-0.114413718;0.025878343;0.000142205;0.033172429;9.436067612;21.7141834;48.63659569;0.00962866;0.000764684;-0.0090495;8.266057657;49.87976983;0.06735701;3.28449781;-0.001930927
NP_114152;AGAP3;0.118509049;0.063604478;0.08759792;9.933280676;0.002085456;0.002845369;-0.000288235;8.403042933;-0.022196134;-0.022067178;0.210388219;1.907872158;0.150528554;11.52062016;0.070196615;0.523263894;5.035996082;1.903796013;0.004311157;1.90E-06;0.108036852;0.036062903;0.001777965;0.038005532;-2.091687529;7.858484591;0.016552766;0.001657534;0.068729922;169.793039;-0.028138234;0.789319265;-2.31E-05;1.85E-05;1.034514027;-0.440462361;1.278277719;0.038240125;-0.003024201;0.39763555;0.043841339;0.00057592;0.001742306;0.055215253;-0.000107606;1.696728538;-0.000274785;-0.003892469;0.041914195;-0.000574985;0.031904232;-0.014503535;1.613393434;0.09865205;0.17414269;-0.004718535;-0.17388745;-0.453807123;0.001099878;1.28E-05;-0.000495416;1.573995328;-0.00042366
