gene set 	NMI	AUC	AUC.pval	t.stat	t.pval
RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_UP	0.182	0.7994	1.051e-05	5.073	0.08868
FORTSCHEGGER_PHF8_TARGETS_UP	0.1739	0.7959	1.314e-05	4.981	0.03985
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.1724	0.8263	1.781e-06	5.381	0.0002211
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	0.1653	0.7931	1.568e-05	4.651	0.1823
SWEET_LUNG_CANCER_KRAS_UP	0.1569	0.7917	1.712e-05	4.592	0.4651
REACTOME_RHOA_GTPASE_CYCLE	0.1561	0.7853	2.53e-05	4.587	0.3712
WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP	0.1524	0.7761	4.385e-05	4.401	0.002234
MARTINEZ_TP53_TARGETS_DN	0.152	0.7825	3.001e-05	4.81	0.1467
ONDER_CDH1_TARGETS_2_DN	0.147	0.7818	3.132e-05	4.456	0.26
BURTON_ADIPOGENESIS_6	0.1467	0.7119	0.001314	2.652	0.2311
RUTELLA_RESPONSE_TO_HGF_UP	0.1379	0.7775	4.034e-05	4.568	0.02545
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	0.1356	0.7521	0.0001713	3.704	0.007894
LI_AMPLIFIED_IN_LUNG_CANCER	0.1348	0.7881	2.129e-05	5.144	0.4587
NUYTTEN_NIPP1_TARGETS_DN	0.1346	0.7888	2.038e-05	4.537	0.2628
NOUZOVA_TRETINOIN_AND_H4_ACETYLATION	0.134	0.7818	3.132e-05	4.803	6.998e-05
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.1339	0.7705	6.103e-05	4.479	0.07614
REACTOME_METABOLISM_OF_LIPIDS	0.1333	0.7903	1.868e-05	4.814	0.1363
ALCALA_APOPTOSIS	0.1312	0.7641	8.787e-05	4.458	0.4245
CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN	0.1302	0.7839	2.756e-05	4.55	4.136e-05
FARMER_BREAST_CANCER_APOCRINE_VS_LUMINAL	0.1301	0.6963	0.002658	2.402	0.1194
MARTINEZ_RB1_AND_TP53_TARGETS_DN	0.1297	0.7634	9.146e-05	4.362	0.007374
MILI_PSEUDOPODIA_HAPTOTAXIS_DN	0.1293	0.779	3.709e-05	4.484	0.2152
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.1286	0.7648	8.442e-05	3.765	0.05327
WELCSH_BRCA1_TARGETS_DN	0.1267	0.7754	4.572e-05	4.643	0.02399
DODD_NASOPHARYNGEAL_CARCINOMA_UP	0.1249	0.7429	0.0002801	3.573	0.2034
REACTOME_PLATELET_CALCIUM_HOMEOSTASIS	0.1247	0.7302	0.0005388	3.472	0.1726
YAGI_AML_WITH_INV_16_TRANSLOCATION	0.1239	0.7556	0.0001412	4.336	0.08695
IVANOVA_HEMATOPOIESIS_MATURE_CELL	0.1211	0.7775	4.034e-05	4.335	0.4248
IBRAHIM_NRF2_UP	0.1191	0.7521	0.0001713	4.054	0.01596
REACTOME_PHOSPHOLIPID_METABOLISM	0.1167	0.7733	5.178e-05	4.486	0.3024
RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_DN	0.1134	0.7323	0.0004842	3.912	1.445e-05
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	0.1123	0.7458	0.0002412	3.919	0.4836
BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_DN	0.1122	0.7436	0.0002698	3.772	0.0147
GABRIELY_MIR21_TARGETS	0.1113	0.7126	0.001271	3.198	0.2976
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	0.1112	0.7465	0.0002322	3.883	0.1109
REACTOME_RHO_GTPASE_CYCLE	0.1102	0.7542	0.0001526	4.093	0.05511
REACTOME_PLATELET_HOMEOSTASIS	0.109	0.7387	0.0003495	3.527	0.1173
BASAKI_YBX1_TARGETS_DN	0.108	0.7528	0.0001648	3.858	0.05785
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	0.1069	0.7528	0.0001648	3.943	0.01086
JINESH_BLEBBISHIELD_TO_IMMUNE_CELL_FUSION_PBSHMS_UP	0.1053	0.7415	0.0003017	3.961	0.06316
SMID_BREAST_CANCER_BASAL_DN	0.1036	0.7097	0.00145	3.227	0.4329
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_UP	0.1029	0.7422	0.0002907	4.005	0.04731
KEGG_CALCIUM_SIGNALING_PATHWAY	0.1009	0.7387	0.0003495	3.812	0.04129
KIM_ALL_DISORDERS_CALB1_CORR_UP	0.1008	0.7436	0.0002698	4.033	2.236e-06
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN	0.09856	0.7274	0.0006206	3.564	0.3036
ONKEN_UVEAL_MELANOMA_UP	0.09834	0.7274	0.0006206	3.669	0.05825
ALFANO_MYC_TARGETS	0.09708	0.7274	0.0006206	3.726	0.06662
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.09628	0.7535	0.0001586	3.838	0.03803
RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP	0.09575	0.7295	0.0005583	3.683	0.1671
HUTTMANN_B_CLL_POOR_SURVIVAL_UP	0.09422	0.7479	0.0002153	3.916	0.0005468
KEGG_ALZHEIMERS_DISEASE	0.09412	0.7316	0.0005018	3.404	0.0473
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.09392	0.6758	0.00628	2.625	0.435
MONNIER_POSTRADIATION_TUMOR_ESCAPE_UP	0.0933	0.7359	0.0004044	4.101	0.02139
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	0.09298	0.7189	0.0009395	3.254	0.006575
MARTINEZ_RB1_TARGETS_UP	0.09154	0.7182	0.000972	3.596	1.292e-06
HORIUCHI_WTAP_TARGETS_DN	0.09112	0.7006	0.002203	2.945	0.001091
ENK_UV_RESPONSE_EPIDERMIS_DN	0.09108	0.6766	0.006104	2.687	0.002562
SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP	0.09049	0.7267	0.0006428	3.452	0.00273
LAIHO_COLORECTAL_CANCER_SERRATED_UP	0.0891	0.7225	0.0007917	3.264	0.09188
WANG_LMO4_TARGETS_UP	0.08864	0.709	0.001498	3.149	0.1853
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_DN	0.0866	0.6617	0.01086	1.85	6.317e-06
MOHANKUMAR_HOXA1_TARGETS_UP	0.0843	0.7161	0.001076	3.076	0.2167
IVANOVA_HEMATOPOIESIS_STEM_CELL_AND_PROGENITOR	0.08398	0.7218	0.0008195	3.389	0.4294
REACTOME_CARDIAC_CONDUCTION	0.08325	0.7175	0.001005	3.378	0.352
REACTOME_ION_HOMEOSTASIS	0.08325	0.7175	0.001005	3.378	0.008114
REACTOME_ION_CHANNEL_TRANSPORT	0.08115	0.7316	0.0005018	3.719	0.03596
FARMER_BREAST_CANCER_APOCRINE_VS_BASAL	0.0787	0.6674	0.008763	2.086	0.07407
MULLIGHAN_MLL_SIGNATURE_2_UP	0.0785	0.6836	0.004574	2.817	0.007013
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.07691	0.69	0.003499	2.819	0.00023
REACTOME_MUSCLE_CONTRACTION	0.07614	0.7062	0.001706	3.265	0.02874
WP_ALZHEIMERS_DISEASE_AND_MIRNA_EFFECTS	0.0756	0.7112	0.001358	3.488	0.005963
WP_ALZHEIMERS_DISEASE	0.0756	0.7112	0.001358	3.488	0.1324
TARTE_PLASMA_CELL_VS_PLASMABLAST_DN	0.07494	0.6638	0.01003	2.532	0.4636
KIM_ALL_DISORDERS_OLIGODENDROCYTE_NUMBER_CORR_UP	0.07436	0.6949	0.002827	2.898	0.4466
LIM_MAMMARY_STEM_CELL_DN	0.07256	0.7097	0.00145	3.181	5.727e-06
PATIL_LIVER_CANCER	0.07217	0.6942	0.002915	2.863	0.4396
TOYOTA_TARGETS_OF_MIR34B_AND_MIR34C	0.07139	0.7133	0.001229	3.422	0.1329
LINDGREN_BLADDER_CANCER_CLUSTER_3_UP	0.07117	0.6497	0.01682	1.829	0.15
KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_DN	0.0706	0.7055	0.001762	3.126	4.351e-05
PECE_MAMMARY_STEM_CELL_UP	0.07029	0.6773	0.005933	2.707	0.1564
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	0.07009	0.7083	0.001548	3.406	0.0002015
SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN	0.0699	0.6879	0.003829	2.637	0.005026
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_UP	0.06961	0.7161	0.001076	3.247	0.1329
GEORGES_TARGETS_OF_MIR192_AND_MIR215	0.06938	0.7295	0.0005583	3.218	0.001788
BENPORATH_ES_1	0.06893	0.7006	0.002203	3.215	0.3894
GRYDER_PAX3FOXO1_ENHANCERS_IN_TADS	0.06877	0.6681	0.008528	2.744	0.09905
KYNG_WERNER_SYNDROM_AND_NORMAL_AGING_DN	0.06874	0.7062	0.001706	2.86	0.001266
