geneName,Pears_PGRMC1,pValue
PLEC,0.24177208636925493,0.027663696136926753
,0.23753789786583618,0.030594712808216663
AHNAK,,0.0606363814861169
DYNC1H1,0.4649970045291798,9.472047171333688e-06
MACF1,,0.8582056853186015
DST,,0.34402618590150336
MYH9,0.2921635779170482,0.007359663424535742
MYO5B,0.2710486783157759,0.013193354317670868
MYO5C,,0.1208920115298059
MYO1C,-0.22807602402046034,0.03810004998583584
MYO1D,,0.3027150000913999
MYO1B,0.27413003217838416,0.012148289356885014
MYH6,,0.20732739837535244
MYH7,,0.08794807703587029
MYO1F,0.2318932647967709,0.03490536674758714
MYO1E,,0.05919084048984933
MYO1G,,0.4773319550518601
ZNF462,0.3545462667179457,0.0010068404583711199
MYH3,,0.06270497108766807
MYH4,0.2668833150518071,0.014729518405948201
MYH13,0.2809173587824615,0.010096964312218175
MYH2,0.2726601539899355,0.012637470997329567
MYH1,0.255130617637178,0.01992461687349023
MYH8,0.2523386252355322,0.021367445238920573
ABCA13,0.26704055248480757,0.014668836801816089
ZNF407,,0.9777770521057518
MYH15,,0.23548140501976322
MYH7B,0.32924251348238387,0.002371516161174899
KRR1,,0.1061946506667362
SYTL5,,0.6099758217037522
MYO7A,,0.08042697809036777
MYO1H,0.3136456481160466,0.0038850240569578576
MYO15A,,0.07310527932892298
MYH11,,0.5821915289951953
MYH10,,0.05364195647742093
MYH14,,0.2727227211722129
MYO5A,0.3079437904426343,0.0046239826047211885
SYNE2,0.4724684578349282,6.490340997281663e-06
SYNE1,,0.10504873976843707
SPTAN1,,0.09919437837349826
DSP,,0.21815796415574984
SAMD9L,,0.11677645749208225
SAMD9,,0.8757146276650898
PLEKHG4B,,0.31020419083691936
PRKDC,0.4812421004120345,4.116165410226512e-06
APOB,,0.49629233260223227
FLNA,,0.2766426648968112
FLNB,,0.07839148187213048
FLNC,,0.7281668550104623
SPTBN1,-0.25775606680275787,0.018644814307927086
SPTB,-0.3380576267589128,0.0017737275935955903
SPTBN2,0.2919426667299654,0.00740640049358677
SPTBN4,,0.4685654267135241
GOLGB1,0.5646276377826137,2.7011684271582366e-08
AKAP9,,0.7039514716839184
HSPG2,,0.9855940279751059
COL6A3,,0.6218087786538838
UBR4,0.5936201563054346,3.326902065426057e-09
TLN1,,0.4988503921909706
TLN2,,0.07139574358652523
HUWE1,0.5191761240808783,4.936374099312792e-07
SP1,0.23711807552350397,0.03089908377355264
NUMA1,,0.5816265542999571
RANBP2,0.3977137084509267,0.00019669895924613896
SRPK3,0.3508110897180877,0.0011477059731798247
SRPK2,,0.1406636517331081
PPID,,0.6088180153021518
SRPK1,0.3049837181545231,0.00505482545571777
PPIF,,0.8496802479861856
FASN,,0.1262564027506825
FN1,,0.08510422085680146
UTRN,,0.6949370250222772
DMD,,0.9137682707053045
DRP2,0.28363749136393734,0.009364017933698808
C3,,0.06588424413507729
LRP1,,0.3424797967865897
LRP1B,,0.9159244051033069
VPS13C,,0.057119882405328844
GCN1L1,0.47370954189175085,6.090054926130076e-06
SPTA1,-0.36639922582548146,0.0006574832643322531
AHNAK2,,0.37362749692136643
TPR,0.42046465090753593,7.570182147704878e-05
ALB,-0.2958919228285573,0.0066091159046387776
COL12A1,0.24360423642933057,0.026471135342749946
CLTC,,0.14681418161446122
CLTCL1,0.22643143965942641,0.039549745637457945
IQGAP1,0.2780101953210981,0.010935255038179765
IQGAP2,,0.08119859027592805
IQGAP3,0.3054851016048908,0.0049794336521472625
PPL,0.28869557626586734,0.00812413880560638
GOLGA4,0.34973135920646115,0.0011916322225798514
HMCN1,,0.8462691706246148
LIG4,,0.31108774360099317
TTN,0.34191632333732525,0.0015578051907183114
MAP3K7,0.31493527897334866,0.0037332584708077545
FLG2,,0.5333197768872504
EIF3A,0.5477002319546728,8.383585231968403e-08
SNRNP70,0.3770817958050306,0.00044151117172117624
RDBP,,0.5050256028858418
SCAF1,0.3324829071965501,0.0021334498288746316
MAP7D3,0.35020401653803546,0.0011722190850321356
CBX8,,0.0649572595325464
CBX6,,0.20952913428552053
TNC,,0.14967545253418235
PRPF8,0.5246109190370377,3.5653668328577253e-07
LRBA,,0.24995603889952478
NBEA,,0.399780933083121
TRIP11,,0.07735061106824588
MYO18A,0.3058727474376249,0.0049218299671535065
LRP2,,0.2916469800075755
MYOF,0.28131542656273356,0.009986667295881536
DYSF,,0.165005648137568
C4B,,0.05146959611002798
C4A,-0.21640212361346667,0.0494178697407761
VWF,,0.3072900079545567
BIRC6,0.3359878105868287,0.0019003509548805907
LAMA5,,0.29798739063409574
LAMA3,,0.9867541807270002
EPRS,0.40887170090993047,0.00012420228955157248
MAP1B,,0.6193806007327084
MAP1A,,0.7438273919459717
BAT2L2,0.5066077270202606,1.0255122394215755e-06
BAT2,0.4132905624885493,0.00010306062401519457
BAT2L1,0.23781232953159265,0.03039711883523581
CHD4,0.41997635340912975,7.732538414841492e-05
CHD3,,0.052492237073006126
CHD5,0.2584010634503686,0.018341427334677262
USP9X,0.3890857434922085,0.0002776162781222834
USP9Y,0.4253999636151348,6.0976663579459306e-05
CKAP5,,0.07538844014473602
AKAP12,,0.39303139085960825
ACACA,,0.9264774936733836
ACACB,,0.0850975622572315
CAD,,0.940554503408917
TNKS1BP1,,0.07519439466498437
EVPL,,0.1879714849396685
EVPLL,0.21870498022893473,0.046989202366137135
KTN1,0.3334474195816334,0.0020668655313237257
A2M,-0.2435462285529845,0.026508213867561716
PZP,-0.27620118294582635,0.011486984464700364
LRPPRC,0.2684801050814703,0.014123258884110666
CENPF,,0.875170606946804
VCL,,0.6618535499049099
DNAJC13,0.27936329796570775,0.010537818778045703
ACTN1,,0.9108899142984169
ACTN4,,0.7650349465503914
ACTN3,,0.8739137322956844
MDN1,0.4065342106356997,0.00013694390953385892
KIAA1217,0.27175117818596206,0.012948469233205046
AKAP13,0.2973219414356233,0.006339678310290752
EEA1,,0.9158068068280314
KIAA1009,0.3563751339555026,0.0009437643334799349
CCDC135,,0.07288027983532426
COPA,0.4051421924916156,0.00014509501893190642
SMC1A,,0.0878779350283392
MYO6,0.3588689432151344,0.0008635400096354474
MXRA5,0.24790980905208906,0.02383906830584238
SMCHD1,,0.8782134163231766
PCNT,,0.14077751770100852
FBN1,,0.4308049406039234
FBN2,,0.9291473715618954
POLR2A,0.35706313358022884,0.0009209810464952494
LRRK2,0.40756505411450805,0.00013118278255282037
SVIL,,0.7532961678746332
TOP2B,0.5181220709535955,5.254481328193011e-07
TOP2A,,0.5716135019923168
COL14A1,,0.12659409059279264
SMC3,,0.2672873673540295
ANK3,,0.438127332505594
ANK1,-0.3869109402657549,0.00030235936509685367
ANK2,,0.055283267018400965
ZNF516,,0.09241008825067552
LMNA,,0.7739169730408592
LMNB1,-0.24460424985267504,0.025838808340851997
TRIO,,0.40885432357915086
KALRN,0.39467680134906136,0.0002223006169519266
TP53BP1,,0.3137653738630605
MYLK,,0.8422465575691204
MTOR,0.3124863889489371,0.004026115330375881
RAD50,,0.27908107360311174
IGF2R,0.5588100303586437,4.015090947482889e-08
TF,-0.28191349945627475,0.00982293243753774
LAMB2,-0.2594790460556825,0.01784384096400729
LAMB4,,0.16037929632153367
AGL,,0.15275955653430276
PARP14,,0.06415408833463981
