geneName,Pval,Pearson
AAK1,9.15470030958905e-26,0.8632319719045561
ABI1,4.404677104668254e-27,0.873781755154096
ABL2,5.096096820116303e-25,0.8568443019166895
ACIN1,1.73461915850282e-21,0.8218217295244182
ACLY,1.4819491799607283e-22,0.8333186527709838
ACTL6A,1.346727350279925e-23,0.8437443418856908
ADCY6,5.992791798685578e-23,0.837341716510323
ADD1,8.646195041493117e-20,0.8016920439978311
ADRBK1,1.7072379804365118e-20,0.8103400510133145
ADRM1,7.899715522233075e-20,0.8021848862004264
AFAP1,3.771916398547753e-23,0.8393575728236297
AGAP3,1.1740336240113355e-21,0.8237032305489144
AKTIP,2.626392439606799e-23,0.8409145500786934
ANKIB1,3.752916755219768e-23,0.8393794088338313
ANKRD17,1.7988092269281503e-23,0.842524885630302
AP3B1,7.950683770098439e-20,0.8021498287342819
ARAF,3.48496724216627e-24,0.8493044872039208
ARF1,1.4218474828651319e-24,0.8528727302806187
ARHGAP1,1.4551219285660083e-20,0.8111686889561412
ARHGAP17,6.37856504512328e-25,0.8559855121099587
ARHGAP31,1.5006309506334255e-21,0.8225227676183213
ARID1A,2.9153024768442022e-21,0.8192845068671838
ARID5B,1.5316288724439824e-27,0.8772466022889186
ARL2BP,7.109282196785674e-25,0.8555685619749532
ASAP1,7.635822843616078e-21,0.814471736488134
ATF7IP,7.543275570689993e-23,0.8363295032731177
ATL3,1.4199651590620602e-22,0.8335109487352147
ATRX,2.5951310871707927e-24,0.8504882241939254
ATXN2L,1.4084949910326348e-22,0.833547424322825
BAT2,5.48424229286903e-26,0.8650781934623074
BAT2L1,1.0915079596353505e-19,0.8004137078977743
BAZ1A,1.375921857920012e-22,0.8336526015190291
BCKDK,2.0740521761077038e-22,0.8317971928381633
BCL3,3.231498742868713e-22,0.829766595777335
BCR,5.292461544353101e-21,0.8163206154551775
BICD2,1.1579618107275507e-23,0.844376474077114
BOD1L,3.095288944025354e-23,0.8402100243499597
BPTF,7.922154118089132e-22,0.8255770283511239
BRD3,4.4350267528865856e-23,0.8386555548803757
BRMS1L,2.0399870470541407e-22,0.8318725079060814
BUD13,5.828634271286452e-24,0.84721488869371
C14ORF4,1.5581214702407691e-21,0.8223411763786046
C19ORF61,1.73661114595937e-25,0.8608865885898035
C3ORF63,1.5081693098934291e-22,0.8332396474685181
C6ORF132,8.951353962326905e-22,0.8249975841120214
C7ORF11,6.388471359697048e-20,0.8033384183052955
C9ORF82,4.2065494961337e-20,0.8055864174974435
CAP1,1.7388178404134907e-25,0.8608818937546685
CASK,2.8701907228002794e-22,0.8303121761108999
CBFB,1.6992590754470346e-24,0.852170712875497
CBLB,2.4655165021596258e-20,0.8084185922851488
CBX4,1.9949272489593534e-20,0.8095285251411881
CC2D1A,2.285043715089254e-21,0.8204798765981699
CCAR1,1.9127656433140173e-21,0.8213470162948108
CCDC9,1.1942232873441996e-22,0.834287682604472
CCNL1,3.1935949224310234e-24,0.8496561118803032
CDC42BPG,1.5898673420470218e-22,0.8330017558453728
CDK10,1.3649880246265234e-24,0.8530329640123887
CDK12,1.0397066272092203e-20,0.8128987256167999
CDK7,5.225679910769883e-20,0.8044229248081941
CENPC1,3.208622610818866e-20,0.8070278518947297
CETN2,9.854951697119067e-20,0.8009753416646929
CHD4,7.82653006101633e-21,0.8143465695762104
CIC,3.31092160152474e-20,0.8068614120761464
CLN3,6.628426258283083e-25,0.855837945764076
COPS3,8.874956953649852e-23,0.8356101456045361
DBNL,4.256184752339433e-22,0.8284917384562477
DCAF15,1.0706872941681357e-24,0.8539825066593388
DCAF6,1.1186201882159614e-19,0.8002785688194762
DCK,1.8801401842690284e-21,0.8214306563643227
DCP1B,2.8300857085621525e-21,0.8194305634540808
DDX51,1.7174748375329528e-25,0.8609275466022861
DEK,6.278425523678395e-24,0.8469102674730905
DENND1A,7.2009763647846e-20,0.8026889435225157
DGCR8,5.551389608155871e-21,0.8160808706834768
DHX16,8.771753259402251e-21,0.8137668233980004
DHX8,1.173219995812892e-22,0.8343670604691026
DIAPH1,5.281029078121024e-22,0.8274857394648267
DKC1,1.2958861009756037e-24,0.8532366593022744
DMXL1,5.938820064629124e-22,0.8269356279599174
DNTTIP1,2.1958816560777723e-20,0.8090264465874583
DOCK6,2.3643162751668833e-20,0.8086388147296135
DOCK9,1.9022924273054215e-23,0.8422880302109857
DOT1L,7.73753438777018e-22,0.8256886479139305
DPF2,1.218354057124044e-22,0.8341981402553363
DYNC1LI1,3.7715384348221515e-21,0.818011175601355
EDC3,7.727789477272692e-22,0.8256946111469584
EEF2,1.0102198326325818e-19,0.800839295879749
EFHD2,2.3377604723832973e-23,0.841411783307624
EGLN1,2.1125199446382262e-20,0.8092290869800478
EIF2A,5.28739111611483e-22,0.827480107239205
EIF3A,1.1945792748258521e-20,0.8121862516891146
EIF5B,2.7880474444637226e-21,0.8195041927009166
ELF1,8.385222068876096e-23,0.8358616987786853
ENAH,1.36381337700235e-27,0.8776209880520733
EPN2,2.546818382530766e-21,0.81994871883515
ERF,2.718797905538945e-25,0.8592186655113839
ERRFI1,4.412421548765168e-20,0.8053308318076577
EXOC1,6.911348520195598e-26,0.8642481843021761
EXOC2,1.6027183748378358e-20,0.8106681589506839
FAM117A,2.283332017654711e-20,0.8088217285503322
FAM120A,8.122259870186019e-20,0.802033393370531
FAM134C,7.935745466662668e-20,0.8021600811297771
FAM193A,1.0405198398934302e-19,0.800676904796438
FAM40A,6.628768698818115e-20,0.8031383672533728
FAM53B,1.658065298266666e-20,0.810491914665559
FIP1L1,4.7121078176932284e-24,0.8480826420210679
FLCN,3.5112140124308865e-24,0.849274228139433
FMNL2,1.4161214233150266e-20,0.8113091749916113
FNBP1L,2.5857223492861893e-20,0.808168121447435
FOSL2,2.6921287131244894e-23,0.8408087440392434
FOXK1,6.5035129603296735e-21,0.8152838478704864
FOXP4,6.561539238813898e-25,0.8558769122675545
FXR1,1.5338885694923966e-23,0.843197387633694
FYTTD1,2.2986935321047653e-20,0.8087865542773426
GAB2,1.8242631041242493e-20,0.8099950348038829
GIGYF2,6.411656794706912e-21,0.8153556281468676
GMIP,1.1181216639081783e-22,0.8345820351716601
GMPS,5.896299023639789e-25,0.8562869310157664
GNG5,1.025695015245645e-23,0.8448821556089758
GNL1,6.0756274875944746e-27,0.8727061180352853
GOLGA3,9.113874615208754e-21,0.8135718226130654
GPATCH2,3.4428059303934223e-22,0.8294743434333699
GPATCH8,3.07070497647247e-25,0.8587620351974914
GPS1,3.808654809672171e-27,0.874264804197525
GRAP2,4.241135019022413e-20,0.8055426446255178
GRHL2,4.406185836324157e-20,0.8053384020457208
GTF3C1,8.047311144398538e-24,0.8458882848477465
GTF3C2,2.063000867006791e-21,0.8209788983482412
HDAC4,1.5653677963131517e-24,0.8524944205241015
HDGFRP2,1.324005914348001e-22,0.8338253358891506
HIRIP3,6.848521014266172e-20,0.8029614788045112
HMGA1,8.21373959959876e-22,0.8254057763499367
HNRNPA3,8.116162274261465e-22,0.8254624190711009
HNRNPK,5.610122010644618e-21,0.816027999925636
HNRNPL,3.902197571024069e-23,0.8392106567731312
HNRNPU,7.284421596427702e-21,0.8147105217414721
HNRNPUL2,3.582700006808499e-21,0.8182659673537247
HNRPA1L-2,8.813069208985432e-25,0.8547387905672976
HOOK3,7.090406653337746e-20,0.8027730235526448
HSPH1,1.384843660662143e-23,0.8436272080873873
IARS,5.113303558830793e-21,0.8164932517461667
IRF2BP2,5.86553718596595e-22,0.8269939055462961
ITGB1BP1,5.889558594542179e-20,0.8037781625191318
ITPKB,4.414887219976158e-25,0.8573903768659172
IWS1,1.0111153495721676e-19,0.8008344291187468
JMJD1C,1.2702615247166998e-22,0.8340112193480647
KHSRP,9.629306465904304e-20,0.801102419153415
KIAA0182,1.0530732957177612e-23,0.8447724828859312
KIAA0430,3.624086671478525e-20,0.8063812301262109
KIAA0947,6.11018807898219e-25,0.8561504018445598
KIAA1429,3.5592282378761023e-28,0.8818670090882187
KIAA1468,7.140055621572011e-20,0.8027351131879162
KIAA1543,3.8719981530954954e-22,0.8289308070465599
KIF1B,2.044942869678982e-20,0.8093991284128945
KIF1C,2.0195041737895044e-23,0.8420344084937383
KLC1,2.3171199819419108e-21,0.8204117068775922
KPNA6,5.128666949899693e-24,0.8477376091110818
KRR1,6.411289932802235e-21,0.8153559168222502
KTN1,9.965205847536295e-23,0.8350953470066007
LARP4,1.121737222440029e-21,0.8239214265041617
LATS1,7.403106919330448e-21,0.8146286465658679
LIG3,5.23727471007526e-20,0.8044109978030206
LMNB1,1.0781144759594372e-19,0.8004816715599343
LRWD1,1.2624039118387747e-24,0.8533391805593512
LSM14A,3.985976585515784e-20,0.8058740703120966
MAP3K7,9.868865461701812e-21,0.8131654707467457
MAP4,9.438811852204858e-23,0.8353366895279098
MAP7D1,3.504021348223661e-27,0.8745408822056001
MEPCE,3.798469692202671e-23,0.8393272336773377
MICAL3,4.486835594639526e-21,0.8171467944925718
MIOS,1.4093427033606584e-21,0.8228254601829349
MKI67IP,5.840293520900191e-21,0.8158258463194258
MLL3,4.861231281287488e-24,0.847955838503009
MLL5,4.217248314434766e-24,0.848533271229692
MORC2,1.4794219481186427e-20,0.8110829903873347
MORC3,5.100252713367282e-21,0.8165060557015438
MPHOSPH8,2.5813038966839782e-23,0.840988619058484
MSL3,5.951733662379754e-21,0.8157307310709135
