,geneName
0,AHNAK
1,
2,ZC3H18
3,TNKS1BP1
4,TP53BP1
5,MAP1B
6,RANBP2
7,FLNA
8,AHNAK2
9,MAP1A
10,SRRM1
11,MKI67
12,NES
13,PCM1
14,TNS1
15,TNS3
16,AKAP12
17,PLEC
18,FAM83H
19,KIAA1217
20,THRAP3
21,SPEN
22,NCOR1
23,CEP170
24,KIAA1671
25,ZC3H13
26,AKAP13
27,MLL2
28,FLNB
29,HUWE1
30,SEC16A
31,ZNF318
32,KIAA1462
33,MAP4
34,ACIN1
35,MAP2
36,LMO7
37,NAV1
38,TJP1
39,ZNF828
40,BAT2
41,BAT2L2
42,BAT2L1
43,ATRX
44,SHROOM3
45,TLN1
46,TLN2
47,NUMA1
48,TJP2
49,SYNPO
50,CTNND1
51,SIPA1L1
52,PHLDB1
53,SSFA2
54,SYNPO2
55,BOD1L
56,TCOF1
57,ARHGEF5
58,SVIL
59,LMNA
60,AIM1
61,TACC2
62,ARHGAP21
63,MAST4
64,MAST2
65,SORBS1
66,TRPS1
67,IRS2
68,PARD3
69,PARD3B
70,VIM
71,KIAA1522
72,SASH1
73,SAMSN1
74,CIC
75,CAST
76,DSP
77,RIF1
78,DLG5
79,CDK12
80,CDK13
81,MYH9
82,MYH11
83,ARHGEF17
84,PLEKHA6
85,MACF1
86,IRS1
87,SF3B1
88,VPS13D
89,LIMA1
90,LIMCH1
91,PPP1R12A
92,CHD4
93,CHD3
94,CAMSAP1
95,SHANK2
96,CALD1
97,SCAF1
98,KIAA1543
99,MYLK
100,RBBP6
101,SPTBN1
102,EIF4ENIF1
103,MLL3
104,MAP7D1
105,PHF3
106,PKP4
107,EPRS
108,MATR3
109,FASN
110,SAFB2
111,TOP2B
112,TOP2A
113,ARHGEF11
114,SIPA1L3
115,CEP350
116,PRR12
117,RSF1
118,ANK2
119,ARHGAP31
120,RPRD2
121,LARP1
122,VCL
123,RAB11FIP5
124,KRT5
125,KRT6A
126,TRIM28
127,SGK223
128,HTATSF1
129,MICAL3
130,FKBP15
131,ARHGAP32
132,AHDC1
133,PRPF4B
134,NUP98
135,RBMX
136,PHRF1
137,EDC4
138,CAMSAP1L1
139,CENPF
140,SETD2
141,SORBS2
142,SYNRG
143,NCL
144,NUCKS1
145,MYO18A
146,SEPT9
147,EPB41L1
148,MYO9B
149,EPB41L2
150,EPB41
151,EPB41L3
152,NHSL2
153,MLPH
154,TCF20
155,SYTL2
156,PML
157,SPTAN1
158,ZNF638
159,PLIN1
160,TANC2
161,ADD1
162,ADD3
163,SP100
164,FAM83B
165,NIPBL
166,PPP1R13L
167,TENC1
168,TNIK
169,MINK1
170,MARK2
171,RBM12B
172,C2ORF55
173,ZMYND8
174,BUD13
175,EIF5B
176,SLK
177,IRF2BP2
178,C14ORF4
179,MAP1S
180,EPS15
181,ZC3HAV1
182,RAPH1
183,SGK269
184,ABLIM1
185,MGA
186,LAD1
187,REPS1
188,REPS2
189,NUP214
190,PTPN12
191,AKAP11
192,MED1
193,ARHGEF2
194,ARHGEF12
195,SLAIN2
196,SFRS2IP
197,LRRFIP1
198,ZNF609
199,GRLF1
200,BPTF
201,CLIP1
202,CLIP2
203,GTF3C1
204,ATXN2
205,PDS5B
206,C6ORF132
207,BCL9L
208,DOCK6
209,HDGF
210,SIPA1L2
211,IQSEC1
212,IWS1
213,RBM15
214,PALLD
215,ZNF687
216,NASP
217,PKP2
218,MPHOSPH8
219,GAB2
220,PHACTR4
221,MLL4
222,SLTM
223,RREB1
224,CDK11B
225,SH3PXD2A
226,PLEKHG3
227,CGN
228,SRCAP
229,HNRNPC
230,RASAL2
231,SYNE2
232,CTNNA1
233,RICTOR
234,NFATC2
235,PLEKHA7
236,LPP
237,LSR
238,KIAA1244
239,AFF4
240,CTTN
241,TRIO
242,ANKRD17
243,GAB1
244,TSC2
245,PNN
246,PBRM1
247,DENND4A
248,NHSL1
249,ZDHHC5
250,NAV2
251,ANLN
252,UHRF1BP1L
253,GIT1
