,,,,shapiro_stat,shapiro_pval,kstest_stat,kstest_pval
PGRMC1,exemestane,200.0,24,0.9840888381004333,0.9819717407226562,0.6079769465985814,0.0010133052643184334
PGRMC1,exemestane,100.0,24,0.912267804145813,0.33207178115844727,0.6712736287821248,0.00015713032317796817
PGRMC1,exemestane,50.0,24,0.8308340311050415,0.04562703147530556,0.7451821964788261,1.1501178701916768e-05
PGRMC1,exemestane,25.0,24,0.7887731790542603,0.015190749429166317,0.7813348671555568,2.5376790415978845e-06
PGRMC1,exemestane,12.5,24,0.9591875672340393,0.7897789478302002,0.8120296211355844,6.037149424606456e-07
PGRMC1,exemestane,200.0,48,0.9021401405334473,0.26466450095176697,0.5665764560067011,0.0029480246776032253
PGRMC1,exemestane,100.0,48,0.872675895690918,0.1313268542289734,0.7016218656628811,5.728631089653258e-05
PGRMC1,exemestane,50.0,48,0.8592368364334106,0.0940680205821991,0.7603284442330972,6.2401716001440594e-06
PGRMC1,exemestane,25.0,48,0.8712161779403687,0.12669582664966583,0.790064420143068,1.7135548385481977e-06
PGRMC1,exemestane,12.5,48,0.8736419677734375,0.1344776749610901,0.8094008087531919,6.871451600115629e-07
PGRMC1,exemestane,200.0,72,0.7762005925178528,0.010890165343880653,0.5313199613509308,0.006741466204854163
PGRMC1,exemestane,100.0,72,0.7334555983543396,0.003483333857730031,0.685605463649902,9.854250594694563e-05
PGRMC1,exemestane,50.0,72,0.8993763327598572,0.24840636551380157,0.7526770048122533,8.530649441425403e-06
PGRMC1,exemestane,25.0,72,0.8441073894500732,0.06414861232042313,0.8080959192014107,7.323799647496952e-07
PGRMC1,exemestane,12.5,72,0.7842603325843811,0.01348238904029131,0.8370410880635728,1.628681444763518e-07
EVC,exemestane,200.0,24,0.8487429618835449,0.07218196243047714,0.7240849024436518,2.5691749459279537e-05
EVC,exemestane,100.0,24,0.9089954495429993,0.3089073598384857,0.7686010701072944,4.410747263419596e-06
EVC,exemestane,50.0,24,0.7610155344009399,0.007273105904459953,0.8063701680469499,7.964147964386249e-07
EVC,exemestane,25.0,24,0.7184980511665344,0.0023326908703893423,0.817061237994832,4.6938699075255106e-07
EVC,exemestane,12.5,24,0.826434850692749,0.040721580386161804,0.8234189849648674,3.388335082882704e-07
EVC,exemestane,200.0,48,0.7169543504714966,0.002238029846921563,0.5707152754278415,0.0026620918539530243
EVC,exemestane,100.0,48,0.7543456554412842,0.006088401656597853,0.7318864736846413,1.920378600058736e-05
EVC,exemestane,50.0,48,0.8383273482322693,0.055330727249383926,0.7748255540629914,3.3760907413932854e-06
EVC,exemestane,25.0,48,0.8096405267715454,0.02629702165722847,0.7548725136060221,7.804886611615976e-06
EVC,exemestane,12.5,48,0.8084973692893982,0.025521816685795784,0.8262975328279267,2.914316605396766e-07
EVC,exemestane,200.0,72,0.6764818429946899,0.0007536614430136979,0.5312896587706117,0.006746045168419642
EVC,exemestane,100.0,72,0.8604311943054199,0.0969252660870552,0.7214503626920408,2.8301707283916343e-05
